,precision,recall,f1-score,support
negative,0.9730428022681544,0.9537865035074744,0.9633184313281647,44619.0
positive,0.9565266645897647,0.9425126974381872,0.9494679729558776,35834.0
neutral,0.8723404255319149,0.9265536723163842,0.8986301369863013,22656.0
accuracy,0.9438846269481811,0.9438846269481811,0.9438846269481811,0.9438846269481811
macro avg,0.9339699641299447,0.9409509577540153,0.9371388470901145,103109.0
weighted avg,0.9451756682167751,0.9438846269481811,0.9442910397142241,103109.0
